Hteam,Ateam,Month,1,N,2,Result,TeamH,TeamA
Man United,Leicester,10,1.57,3.9,7.5,H,19.0,16.0
Man United,Leicester,10,1.53,4.0,7.5,H,19.0,16.0
Man United,Leicester,10,1.55,3.8,7.0,H,19.0,16.0
Man United,Leicester,10,1.57,3.8,6.0,H,19.0,16.0
Man United,Leicester,10,1.57,4.0,7.0,H,19.0,16.0
Man United,Leicester,10,1.6,4.2,8.05,H,19.0,16.0
Man United,Leicester,10,1.56,3.92,7.06,H,19.0,16.0
Bournemouth,Cardiff,11,1.9,3.6,4.5,H,6.0,9.0
Bournemouth,Cardiff,11,1.9,3.4,4.4,H,6.0,9.0
Bournemouth,Cardiff,11,1.9,3.5,4.1,H,6.0,9.0
Bournemouth,Cardiff,11,1.91,3.5,4.0,H,6.0,9.0
Bournemouth,Cardiff,11,1.87,3.6,4.75,H,6.0,9.0
Bournemouth,Cardiff,11,1.93,3.71,4.75,H,6.0,9.0
Bournemouth,Cardiff,11,1.88,3.53,4.37,H,6.0,9.0
Fulham,Crystal Palace,11,2.5,3.4,3.0,A,13.0,11.0
Fulham,Crystal Palace,11,2.45,3.3,2.95,A,13.0,11.0
Fulham,Crystal Palace,11,2.4,3.3,2.95,A,13.0,11.0
Fulham,Crystal Palace,11,2.45,3.3,2.8,A,13.0,11.0
Fulham,Crystal Palace,11,2.5,3.4,3.0,A,13.0,11.0
Fulham,Crystal Palace,11,2.6,3.49,3.05,A,13.0,11.0
Fulham,Crystal Palace,11,2.47,3.35,2.92,A,13.0,11.0
Huddersfield,Chelsea,11,6.5,4.0,1.61,A,14.0,10.0
Huddersfield,Chelsea,11,6.25,3.9,1.57,A,14.0,10.0
Huddersfield,Chelsea,11,6.2,4.0,1.55,A,14.0,10.0
Huddersfield,Chelsea,11,5.8,3.9,1.57,A,14.0,10.0
Huddersfield,Chelsea,11,6.5,4.0,1.62,A,14.0,10.0
Huddersfield,Chelsea,11,6.85,4.07,1.66,A,14.0,10.0
Huddersfield,Chelsea,11,6.09,3.9,1.61,A,14.0,10.0
Newcastle,Tottenham,11,3.9,3.5,2.04,A,21.0,30.0
Newcastle,Tottenham,11,3.8,3.5,2.0,A,21.0,30.0
Newcastle,Tottenham,11,3.7,3.35,2.05,A,21.0,30.0
Newcastle,Tottenham,11,3.8,3.2,2.05,A,21.0,30.0
Newcastle,Tottenham,11,3.9,3.4,2.1,A,21.0,30.0
Newcastle,Tottenham,11,4.01,3.57,2.12,A,21.0,30.0
Newcastle,Tottenham,11,3.83,3.4,2.05,A,21.0,30.0
Watford,Brighton,11,2.37,3.2,3.4,H,31.0,7.0
Watford,Brighton,11,2.35,3.1,3.3,H,31.0,7.0
Watford,Brighton,11,2.2,3.3,3.4,H,31.0,7.0
Watford,Brighton,11,2.38,3.0,3.3,H,31.0,7.0
Watford,Brighton,11,2.4,3.2,3.4,H,31.0,7.0
Watford,Brighton,11,2.48,3.3,3.42,H,31.0,7.0
Watford,Brighton,11,2.36,3.14,3.31,H,31.0,7.0
Wolves,Everton,11,2.37,3.3,3.3,D,35.0,12.0
Wolves,Everton,11,2.35,3.2,3.2,D,35.0,12.0
Wolves,Everton,11,2.25,3.35,3.2,D,35.0,12.0
Wolves,Everton,11,2.3,3.2,3.2,D,35.0,12.0
Wolves,Everton,11,2.38,3.3,3.3,D,35.0,12.0
Wolves,Everton,11,2.41,3.4,3.4,D,35.0,12.0
Wolves,Everton,11,2.33,3.27,3.23,D,35.0,12.0
Arsenal,Man City,12,4.0,3.8,1.95,A,0.0,18.0
Arsenal,Man City,12,3.7,3.75,1.95,A,0.0,18.0
Arsenal,Man City,12,3.6,3.6,2.0,A,0.0,18.0
Arsenal,Man City,12,3.8,3.8,1.91,A,0.0,18.0
Arsenal,Man City,12,3.9,4.0,1.91,A,0.0,18.0
Arsenal,Man City,12,4.15,4.0,2.0,A,0.0,18.0
Arsenal,Man City,12,3.83,3.8,1.92,A,0.0,18.0
Liverpool,West Ham,12,1.25,6.5,14.0,H,17.0,33.0
Liverpool,West Ham,12,1.2,6.75,14.0,H,17.0,33.0
Liverpool,West Ham,12,1.25,6.1,11.0,H,17.0,33.0
Liverpool,West Ham,12,1.25,5.5,12.0,H,17.0,33.0
Liverpool,West Ham,12,1.25,6.5,13.0,H,17.0,33.0
Liverpool,West Ham,12,1.29,6.79,15.0,H,17.0,33.0
Liverpool,West Ham,12,1.25,6.22,12.3,H,17.0,33.0
Southampton,Burnley,12,1.85,3.5,5.0,D,26.0,8.0
Southampton,Burnley,12,1.8,3.5,4.75,D,26.0,8.0
Southampton,Burnley,12,1.8,3.6,4.5,D,26.0,8.0
Southampton,Burnley,12,1.83,3.25,4.8,D,26.0,8.0
Southampton,Burnley,12,1.85,3.4,5.2,D,26.0,8.0
Southampton,Burnley,12,1.9,3.61,5.2,D,26.0,8.0
Southampton,Burnley,12,1.84,3.43,4.8,D,26.0,8.0
Cardiff,Newcastle,8,3.25,3.1,2.54,D,9.0,21.0
Cardiff,Newcastle,8,3.1,3.1,2.45,D,9.0,21.0
Cardiff,Newcastle,8,2.9,3.2,2.5,D,9.0,21.0
Cardiff,Newcastle,8,3.1,3.0,2.45,D,9.0,21.0
Cardiff,Newcastle,8,3.25,3.1,2.55,D,9.0,21.0
Cardiff,Newcastle,8,3.25,3.21,2.6,D,9.0,21.0
Cardiff,Newcastle,8,3.14,3.07,2.5,D,9.0,21.0
Chelsea,Arsenal,8,1.8,4.0,4.5,H,10.0,0.0
Chelsea,Arsenal,8,1.78,3.8,4.5,H,10.0,0.0
Chelsea,Arsenal,8,1.8,3.8,4.2,H,10.0,0.0
Chelsea,Arsenal,8,1.83,3.75,4.0,H,10.0,0.0
Chelsea,Arsenal,8,1.8,4.0,4.5,H,10.0,0.0
Chelsea,Arsenal,8,1.87,4.02,4.54,H,10.0,0.0
Chelsea,Arsenal,8,1.81,3.85,4.29,H,10.0,0.0
Everton,Southampton,8,1.9,3.5,4.75,H,12.0,26.0
Everton,Southampton,8,1.91,3.3,4.5,H,12.0,26.0
Everton,Southampton,8,2.0,3.25,4.0,H,12.0,26.0
Everton,Southampton,8,1.91,3.4,4.0,H,12.0,26.0
Everton,Southampton,8,1.91,3.5,4.6,H,12.0,26.0
Everton,Southampton,8,2.0,3.63,4.78,H,12.0,26.0
Everton,Southampton,8,1.89,3.44,4.41,H,12.0,26.0
Leicester,Wolves,8,2.04,3.5,3.9,H,16.0,35.0
Leicester,Wolves,8,2.0,3.5,3.8,H,16.0,35.0
Leicester,Wolves,8,2.1,3.3,3.6,H,16.0,35.0
Leicester,Wolves,8,2.05,3.4,3.6,H,16.0,35.0
Leicester,Wolves,8,2.05,3.5,4.0,H,16.0,35.0
Leicester,Wolves,8,2.12,3.61,4.0,H,16.0,35.0
Leicester,Wolves,8,2.05,3.44,3.77,H,16.0,35.0
Tottenham,Fulham,8,1.28,6.0,12.0,H,30.0,13.0
Tottenham,Fulham,8,1.28,6.0,10.0,H,30.0,13.0
Tottenham,Fulham,8,1.27,6.0,10.0,H,30.0,13.0
Tottenham,Fulham,8,1.25,6.0,10.0,H,30.0,13.0
Tottenham,Fulham,8,1.29,6.0,12.0,H,30.0,13.0
Tottenham,Fulham,8,1.31,6.5,12.61,H,30.0,13.0
Tottenham,Fulham,8,1.28,5.88,10.92,H,30.0,13.0
West Ham,Bournemouth,8,2.1,3.6,3.7,A,33.0,6.0
West Ham,Bournemouth,8,2.1,3.3,3.75,A,33.0,6.0
West Ham,Bournemouth,8,2.05,3.55,3.55,A,33.0,6.0
West Ham,Bournemouth,8,2.05,3.6,3.4,A,33.0,6.0
West Ham,Bournemouth,8,2.1,3.6,3.7,A,33.0,6.0
West Ham,Bournemouth,8,2.15,3.67,3.75,A,33.0,6.0
West Ham,Bournemouth,8,2.08,3.53,3.56,A,33.0,6.0
Brighton,Man United,8,5.5,3.6,1.75,H,7.0,19.0
Brighton,Man United,8,5.5,3.6,1.7,H,7.0,19.0
Brighton,Man United,8,5.1,3.5,1.75,H,7.0,19.0
Brighton,Man United,8,4.8,3.6,1.75,H,7.0,19.0
Brighton,Man United,8,5.5,3.6,1.75,H,7.0,19.0
Brighton,Man United,8,5.52,3.62,1.84,H,7.0,19.0
Brighton,Man United,8,5.19,3.53,1.76,H,7.0,19.0
Burnley,Watford,8,2.45,3.1,3.4,A,8.0,31.0
Burnley,Watford,8,2.4,3.1,3.2,A,8.0,31.0
Burnley,Watford,8,2.4,3.1,3.15,A,8.0,31.0
Burnley,Watford,8,2.38,3.0,3.25,A,8.0,31.0
Burnley,Watford,8,2.4,3.1,3.5,A,8.0,31.0
Burnley,Watford,8,2.5,3.18,3.5,A,8.0,31.0
Burnley,Watford,8,2.39,3.04,3.34,A,8.0,31.0
Man City,Huddersfield,8,1.1,13.0,26.0,H,18.0,14.0
Man City,Huddersfield,8,1.07,12.0,31.0,H,18.0,14.0
Man City,Huddersfield,8,1.08,10.5,29.0,H,18.0,14.0
Man City,Huddersfield,8,1.06,12.0,29.0,H,18.0,14.0
Man City,Huddersfield,8,1.06,13.0,34.0,H,18.0,14.0
Man City,Huddersfield,8,1.11,13.0,35.0,H,18.0,14.0
Man City,Huddersfield,8,1.09,11.35,28.36,H,18.0,14.0
Crystal Palace,Liverpool,8,7.0,5.0,1.44,A,11.0,17.0
Crystal Palace,Liverpool,8,6.75,4.75,1.44,A,11.0,17.0
Crystal Palace,Liverpool,8,7.0,4.5,1.45,A,11.0,17.0
Crystal Palace,Liverpool,8,6.0,4.75,1.44,A,11.0,17.0
Crystal Palace,Liverpool,8,7.0,5.0,1.45,A,11.0,17.0
Crystal Palace,Liverpool,8,7.35,5.11,1.49,A,11.0,17.0
Crystal Palace,Liverpool,8,6.79,4.83,1.44,A,11.0,17.0
Arsenal,West Ham,8,1.36,5.5,9.0,H,0.0,33.0
Arsenal,West Ham,8,1.36,5.25,7.75,H,0.0,33.0
Arsenal,West Ham,8,1.4,4.8,7.5,H,0.0,33.0
Arsenal,West Ham,8,1.36,5.0,7.5,H,0.0,33.0
Arsenal,West Ham,8,1.36,5.5,9.0,H,0.0,33.0
Arsenal,West Ham,8,1.4,5.72,9.5,H,0.0,33.0
Arsenal,West Ham,8,1.37,5.32,8.1,H,0.0,33.0
Bournemouth,Everton,8,2.62,3.6,2.75,D,6.0,12.0
Bournemouth,Everton,8,2.6,3.4,2.7,D,6.0,12.0
Bournemouth,Everton,8,2.55,3.5,2.65,D,6.0,12.0
Bournemouth,Everton,8,2.5,3.6,2.62,D,6.0,12.0
Bournemouth,Everton,8,2.6,3.6,2.75,D,6.0,12.0
Bournemouth,Everton,8,2.69,3.6,2.81,D,6.0,12.0
Bournemouth,Everton,8,2.59,3.49,2.7,D,6.0,12.0
Huddersfield,Cardiff,8,2.37,3.0,3.7,D,14.0,9.0
Huddersfield,Cardiff,8,2.25,3.1,3.5,D,14.0,9.0
Huddersfield,Cardiff,8,2.3,3.0,3.55,D,14.0,9.0
Huddersfield,Cardiff,8,2.3,3.1,3.3,D,14.0,9.0
Huddersfield,Cardiff,8,2.38,3.1,3.6,D,14.0,9.0
Huddersfield,Cardiff,8,2.4,3.18,3.7,D,14.0,9.0
Huddersfield,Cardiff,8,2.32,3.04,3.53,D,14.0,9.0
Liverpool,Brighton,8,1.16,8.5,19.0,H,17.0,7.0
Liverpool,Brighton,8,1.16,7.5,17.5,H,17.0,7.0
Liverpool,Brighton,8,1.15,7.9,18.0,H,17.0,7.0
Liverpool,Brighton,8,1.15,8.0,17.0,H,17.0,7.0
Liverpool,Brighton,8,1.15,8.5,23.0,H,17.0,7.0
Liverpool,Brighton,8,1.18,8.92,23.0,H,17.0,7.0
Liverpool,Brighton,8,1.16,8.05,18.81,H,17.0,7.0
Southampton,Leicester,8,2.45,3.2,3.25,A,26.0,16.0
Southampton,Leicester,8,2.4,3.2,3.1,A,26.0,16.0
Southampton,Leicester,8,2.4,3.15,3.1,A,26.0,16.0
Southampton,Leicester,8,2.3,3.3,3.1,A,26.0,16.0
Southampton,Leicester,8,2.45,3.25,3.25,A,26.0,16.0
Southampton,Leicester,8,2.52,3.35,3.25,A,26.0,16.0
Southampton,Leicester,8,2.42,3.22,3.12,A,26.0,16.0
Wolves,Man City,8,11.0,6.5,1.28,D,35.0,18.0
Wolves,Man City,8,10.0,6.75,1.25,D,35.0,18.0
Wolves,Man City,8,11.0,6.1,1.25,D,35.0,18.0
Wolves,Man City,8,10.0,6.0,1.25,D,35.0,18.0
Wolves,Man City,8,13.0,6.25,1.29,D,35.0,18.0
Wolves,Man City,8,13.0,6.75,1.3,D,35.0,18.0
Wolves,Man City,8,10.84,6.18,1.27,D,35.0,18.0
Fulham,Burnley,8,2.0,3.4,4.33,H,13.0,8.0
Fulham,Burnley,8,2.0,3.3,4.0,H,13.0,8.0
Fulham,Burnley,8,1.97,3.35,4.1,H,13.0,8.0
Fulham,Burnley,8,2.0,3.25,3.9,H,13.0,8.0
Fulham,Burnley,8,2.0,3.4,4.33,H,13.0,8.0
Fulham,Burnley,8,2.04,3.57,4.5,H,13.0,8.0
Fulham,Burnley,8,1.98,3.36,4.14,H,13.0,8.0
Newcastle,Chelsea,8,5.75,4.0,1.66,A,21.0,10.0
Newcastle,Chelsea,8,5.25,3.8,1.67,A,21.0,10.0
Newcastle,Chelsea,8,5.0,3.75,1.7,A,21.0,10.0
Newcastle,Chelsea,8,5.0,3.75,1.67,A,21.0,10.0
Newcastle,Chelsea,8,5.5,4.0,1.67,A,21.0,10.0
Newcastle,Chelsea,8,5.75,4.17,1.71,A,21.0,10.0
Newcastle,Chelsea,8,5.25,3.9,1.67,A,21.0,10.0
Watford,Crystal Palace,8,2.6,3.25,3.0,H,31.0,11.0
Watford,Crystal Palace,8,2.55,3.1,2.95,H,31.0,11.0
Watford,Crystal Palace,8,2.5,3.2,2.95,H,31.0,11.0
Watford,Crystal Palace,8,2.5,3.3,2.8,H,31.0,11.0
Watford,Crystal Palace,8,2.6,3.3,2.9,H,31.0,11.0
Watford,Crystal Palace,8,2.66,3.36,3.04,H,31.0,11.0
Watford,Crystal Palace,8,2.55,3.22,2.92,H,31.0,11.0
Man United,Tottenham,8,2.62,3.3,2.9,A,19.0,30.0
Man United,Tottenham,8,2.55,3.2,2.9,A,19.0,30.0
Man United,Tottenham,8,2.6,3.25,2.75,A,19.0,30.0
Man United,Tottenham,8,2.5,3.4,2.7,A,19.0,30.0
Man United,Tottenham,8,2.6,3.3,2.9,A,19.0,30.0
Man United,Tottenham,8,2.67,3.4,3.0,A,19.0,30.0
Man United,Tottenham,8,2.56,3.27,2.86,A,19.0,30.0
Brighton,Fulham,1,2.3,3.4,3.4,D,7.0,13.0
Brighton,Fulham,1,2.2,3.3,3.4,D,7.0,13.0
Brighton,Fulham,1,2.2,3.3,3.4,D,7.0,13.0
Brighton,Fulham,1,2.25,3.3,3.2,D,7.0,13.0
Brighton,Fulham,1,2.25,3.4,3.5,D,7.0,13.0
Brighton,Fulham,1,2.3,3.5,3.5,D,7.0,13.0
Brighton,Fulham,1,2.23,3.37,3.33,D,7.0,13.0
Chelsea,Bournemouth,1,1.3,6.0,11.0,H,10.0,6.0
Chelsea,Bournemouth,1,1.28,6.0,9.5,H,10.0,6.0
Chelsea,Bournemouth,1,1.27,6.0,10.0,H,10.0,6.0
Chelsea,Bournemouth,1,1.29,5.8,8.5,H,10.0,6.0
Chelsea,Bournemouth,1,1.3,6.0,11.0,H,10.0,6.0
Chelsea,Bournemouth,1,1.33,6.3,11.0,H,10.0,6.0
Chelsea,Bournemouth,1,1.29,5.88,9.9,H,10.0,6.0
Crystal Palace,Southampton,1,2.0,3.5,4.2,A,11.0,26.0
Crystal Palace,Southampton,1,1.95,3.4,4.1,A,11.0,26.0
Crystal Palace,Southampton,1,2.0,3.4,3.8,A,11.0,26.0
Crystal Palace,Southampton,1,1.95,3.4,4.0,A,11.0,26.0
Crystal Palace,Southampton,1,2.0,3.4,4.33,A,11.0,26.0
Crystal Palace,Southampton,1,2.0,3.52,4.5,A,11.0,26.0
Crystal Palace,Southampton,1,1.95,3.42,4.16,A,11.0,26.0
Everton,Huddersfield,1,1.53,4.2,7.5,D,12.0,14.0
Everton,Huddersfield,1,1.5,4.0,7.5,D,12.0,14.0
Everton,Huddersfield,1,1.6,4.0,5.5,D,12.0,14.0
Everton,Huddersfield,1,1.5,3.8,7.5,D,12.0,14.0
Everton,Huddersfield,1,1.53,4.2,7.5,D,12.0,14.0
Everton,Huddersfield,1,1.6,4.33,8.06,D,12.0,14.0
Everton,Huddersfield,1,1.51,4.1,7.26,D,12.0,14.0
Leicester,Liverpool,1,7.5,5.0,1.44,A,16.0,17.0
Leicester,Liverpool,1,6.5,4.75,1.45,A,16.0,17.0
Leicester,Liverpool,1,6.5,4.3,1.5,A,16.0,17.0
Leicester,Liverpool,1,7.0,4.75,1.4,A,16.0,17.0
Leicester,Liverpool,1,7.5,5.0,1.45,A,16.0,17.0
Leicester,Liverpool,1,8.03,5.1,1.5,A,16.0,17.0
Leicester,Liverpool,1,7.32,4.76,1.43,A,16.0,17.0
Man City,Newcastle,1,1.11,11.0,26.0,H,18.0,21.0
Man City,Newcastle,1,1.12,9.5,18.5,H,18.0,21.0
Man City,Newcastle,1,1.12,9.0,20.0,H,18.0,21.0
Man City,Newcastle,1,1.08,10.0,26.0,H,18.0,21.0
Man City,Newcastle,1,1.11,11.0,29.0,H,18.0,21.0
Man City,Newcastle,1,1.13,11.34,32.5,H,18.0,21.0
Man City,Newcastle,1,1.11,9.76,24.64,H,18.0,21.0
West Ham,Wolves,1,2.6,3.4,2.87,A,33.0,35.0
West Ham,Wolves,1,2.5,3.3,2.85,A,33.0,35.0
West Ham,Wolves,1,2.5,3.3,2.85,A,33.0,35.0
West Ham,Wolves,1,2.4,3.5,2.8,A,33.0,35.0
West Ham,Wolves,1,2.5,3.5,2.9,A,33.0,35.0
West Ham,Wolves,1,2.6,3.5,3.0,A,33.0,35.0
West Ham,Wolves,1,2.51,3.37,2.86,A,33.0,35.0
Burnley,Man United,2,6.0,3.75,1.7,A,8.0,19.0
Burnley,Man United,2,6.0,3.6,1.65,A,8.0,19.0
Burnley,Man United,2,5.0,3.75,1.7,A,8.0,19.0
Burnley,Man United,2,5.5,3.7,1.65,A,8.0,19.0
Burnley,Man United,2,6.25,3.8,1.65,A,8.0,19.0
Burnley,Man United,2,6.25,3.9,1.7,A,8.0,19.0
Burnley,Man United,2,5.73,3.72,1.67,A,8.0,19.0
Cardiff,Arsenal,2,6.5,4.33,1.57,A,9.0,0.0
Cardiff,Arsenal,2,6.0,4.0,1.57,A,9.0,0.0
Cardiff,Arsenal,2,5.4,3.8,1.65,A,9.0,0.0
Cardiff,Arsenal,2,5.5,4.33,1.53,A,9.0,0.0
Cardiff,Arsenal,2,6.5,4.33,1.55,A,9.0,0.0
Cardiff,Arsenal,2,6.6,4.54,1.65,A,9.0,0.0
Cardiff,Arsenal,2,6.0,4.22,1.56,A,9.0,0.0
Watford,Tottenham,2,5.5,4.2,1.64,H,31.0,30.0
Watford,Tottenham,2,5.5,4.25,1.57,H,31.0,30.0
Watford,Tottenham,2,5.3,3.9,1.65,H,31.0,30.0
Watford,Tottenham,2,5.0,4.2,1.62,H,31.0,30.0
Watford,Tottenham,2,5.75,4.2,1.62,H,31.0,30.0
Watford,Tottenham,2,5.75,4.3,1.68,H,31.0,30.0
Watford,Tottenham,2,5.38,4.13,1.62,H,31.0,30.0
Bournemouth,Leicester,9,2.45,3.5,3.0,H,6.0,16.0
Bournemouth,Leicester,9,2.4,3.4,2.95,H,6.0,16.0
Bournemouth,Leicester,9,2.35,3.4,3.0,H,6.0,16.0
Bournemouth,Leicester,9,2.38,3.4,2.9,H,6.0,16.0
Bournemouth,Leicester,9,2.45,3.5,3.0,H,6.0,16.0
Bournemouth,Leicester,9,2.51,3.5,3.13,H,6.0,16.0
Bournemouth,Leicester,9,2.42,3.41,2.98,H,6.0,16.0
Chelsea,Cardiff,9,1.18,8.0,19.0,H,10.0,9.0
Chelsea,Cardiff,9,1.19,7.0,15.0,H,10.0,9.0
Chelsea,Cardiff,9,1.2,6.8,15.0,H,10.0,9.0
Chelsea,Cardiff,9,1.17,7.0,15.0,H,10.0,9.0
Chelsea,Cardiff,9,1.18,7.5,21.0,H,10.0,9.0
Chelsea,Cardiff,9,1.21,8.0,21.0,H,10.0,9.0
Chelsea,Cardiff,9,1.18,7.2,17.53,H,10.0,9.0
Huddersfield,Crystal Palace,9,3.3,3.1,2.5,A,14.0,11.0
Huddersfield,Crystal Palace,9,3.1,3.1,2.45,A,14.0,11.0
Huddersfield,Crystal Palace,9,3.2,3.1,2.4,A,14.0,11.0
Huddersfield,Crystal Palace,9,3.1,3.0,2.45,A,14.0,11.0
Huddersfield,Crystal Palace,9,3.3,3.13,2.5,A,14.0,11.0
Huddersfield,Crystal Palace,9,3.3,3.27,2.55,A,14.0,11.0
Huddersfield,Crystal Palace,9,3.19,3.11,2.45,A,14.0,11.0
Man City,Fulham,9,1.12,10.0,26.0,H,18.0,13.0
Man City,Fulham,9,1.13,9.0,19.5,H,18.0,13.0
Man City,Fulham,9,1.12,9.0,20.0,H,18.0,13.0
Man City,Fulham,9,1.12,9.0,17.0,H,18.0,13.0
Man City,Fulham,9,1.13,10.0,26.0,H,18.0,13.0
Man City,Fulham,9,1.14,11.0,29.0,H,18.0,13.0
Man City,Fulham,9,1.12,9.54,21.93,H,18.0,13.0
Newcastle,Arsenal,9,4.2,3.8,1.9,A,21.0,0.0
Newcastle,Arsenal,9,4.0,3.6,1.91,A,21.0,0.0
Newcastle,Arsenal,9,4.0,3.6,1.9,A,21.0,0.0
Newcastle,Arsenal,9,3.75,3.7,1.91,A,21.0,0.0
Newcastle,Arsenal,9,4.1,3.75,1.95,A,21.0,0.0
Newcastle,Arsenal,9,4.2,3.9,1.97,A,21.0,0.0
Newcastle,Arsenal,9,4.01,3.72,1.91,A,21.0,0.0
Tottenham,Liverpool,9,3.0,3.6,2.4,A,30.0,17.0
Tottenham,Liverpool,9,2.95,3.6,2.3,A,30.0,17.0
Tottenham,Liverpool,9,2.95,3.6,2.3,A,30.0,17.0
Tottenham,Liverpool,9,2.88,3.5,2.3,A,30.0,17.0
Tottenham,Liverpool,9,3.1,3.7,2.3,A,30.0,17.0
Tottenham,Liverpool,9,3.1,3.74,2.4,A,30.0,17.0
Tottenham,Liverpool,9,2.97,3.62,2.33,A,30.0,17.0
Watford,Man United,9,4.33,3.6,1.95,A,31.0,19.0
Watford,Man United,9,4.2,3.6,1.87,A,31.0,19.0
Watford,Man United,9,4.15,3.55,1.9,A,31.0,19.0
Watford,Man United,9,4.0,3.4,1.91,A,31.0,19.0
Watford,Man United,9,4.4,3.6,1.93,A,31.0,19.0
Watford,Man United,9,4.5,3.65,2.0,A,31.0,19.0
Watford,Man United,9,4.16,3.55,1.93,A,31.0,19.0
Everton,West Ham,9,2.0,3.75,3.9,A,12.0,33.0
Everton,West Ham,9,2.0,3.6,3.7,A,12.0,33.0
Everton,West Ham,9,2.0,3.55,3.6,A,12.0,33.0
Everton,West Ham,9,2.05,3.6,3.4,A,12.0,33.0
Everton,West Ham,9,2.05,3.6,3.75,A,12.0,33.0
Everton,West Ham,9,2.12,3.75,4.1,A,12.0,33.0
Everton,West Ham,9,2.03,3.58,3.68,A,12.0,33.0
Wolves,Burnley,9,1.75,3.6,5.75,H,35.0,8.0
Wolves,Burnley,9,1.7,3.6,5.5,H,35.0,8.0
Wolves,Burnley,9,1.8,3.5,4.7,H,35.0,8.0
Wolves,Burnley,9,1.75,3.5,4.8,H,35.0,8.0
Wolves,Burnley,9,1.75,3.6,5.75,H,35.0,8.0
Wolves,Burnley,9,1.8,3.72,6.0,H,35.0,8.0
Wolves,Burnley,9,1.74,3.55,5.42,H,35.0,8.0
Southampton,Brighton,9,2.1,3.4,3.9,D,26.0,7.0
Southampton,Brighton,9,2.1,3.3,3.75,D,26.0,7.0
Southampton,Brighton,9,2.1,3.25,3.75,D,26.0,7.0
Southampton,Brighton,9,2.05,3.2,3.75,D,26.0,7.0
Southampton,Brighton,9,2.15,3.25,3.9,D,26.0,7.0
Southampton,Brighton,9,2.22,3.42,4.0,D,26.0,7.0
Southampton,Brighton,9,2.12,3.28,3.75,D,26.0,7.0
Brighton,Tottenham,9,5.0,4.0,1.75,A,7.0,30.0
Brighton,Tottenham,9,4.75,3.7,1.75,A,7.0,30.0
Brighton,Tottenham,9,4.8,3.9,1.7,A,7.0,30.0
Brighton,Tottenham,9,4.4,3.8,1.75,A,7.0,30.0
Brighton,Tottenham,9,5.0,3.9,1.75,A,7.0,30.0
Brighton,Tottenham,9,5.0,4.0,1.8,A,7.0,30.0
Brighton,Tottenham,9,4.76,3.81,1.75,A,7.0,30.0
Burnley,Bournemouth,9,3.0,3.4,2.5,H,8.0,6.0
Burnley,Bournemouth,9,2.8,3.25,2.6,H,8.0,6.0
Burnley,Bournemouth,9,2.8,3.3,2.55,H,8.0,6.0
Burnley,Bournemouth,9,2.8,3.3,2.5,H,8.0,6.0
Burnley,Bournemouth,9,2.9,3.4,2.6,H,8.0,6.0
Burnley,Bournemouth,9,3.0,3.42,2.62,H,8.0,6.0
Burnley,Bournemouth,9,2.87,3.32,2.55,H,8.0,6.0
Cardiff,Man City,9,23.0,8.0,1.16,A,9.0,18.0
Cardiff,Man City,9,17.5,8.0,1.15,A,9.0,18.0
Cardiff,Man City,9,15.0,6.5,1.2,A,9.0,18.0
Cardiff,Man City,9,17.0,7.5,1.15,A,9.0,18.0
Cardiff,Man City,9,20.0,8.5,1.17,A,9.0,18.0
Cardiff,Man City,9,23.0,9.0,1.2,A,9.0,18.0
Cardiff,Man City,9,18.84,7.85,1.16,A,9.0,18.0
Crystal Palace,Newcastle,9,2.14,3.4,3.75,D,11.0,21.0
Crystal Palace,Newcastle,9,2.15,3.3,3.6,D,11.0,21.0
Crystal Palace,Newcastle,9,2.0,3.4,3.8,D,11.0,21.0
Crystal Palace,Newcastle,9,2.1,3.3,3.5,D,11.0,21.0
Crystal Palace,Newcastle,9,2.15,3.4,3.75,D,11.0,21.0
Crystal Palace,Newcastle,9,2.24,3.4,3.8,D,11.0,21.0
Crystal Palace,Newcastle,9,2.14,3.32,3.68,D,11.0,21.0
Fulham,Watford,9,2.54,3.5,2.9,D,13.0,31.0
Fulham,Watford,9,2.35,3.4,3.0,D,13.0,31.0
Fulham,Watford,9,2.6,3.3,2.7,D,13.0,31.0
Fulham,Watford,9,2.5,3.4,2.75,D,13.0,31.0
Fulham,Watford,9,2.45,3.5,3.0,D,13.0,31.0
Fulham,Watford,9,2.6,3.55,3.0,D,13.0,31.0
Fulham,Watford,9,2.46,3.43,2.9,D,13.0,31.0
Leicester,Huddersfield,9,1.61,4.0,6.5,H,16.0,14.0
Leicester,Huddersfield,9,1.57,3.9,6.25,H,16.0,14.0
Leicester,Huddersfield,9,1.67,3.9,5.0,H,16.0,14.0
Leicester,Huddersfield,9,1.6,3.75,6.0,H,16.0,14.0
Leicester,Huddersfield,9,1.62,3.8,7.0,H,16.0,14.0
Leicester,Huddersfield,9,1.67,4.0,7.0,H,16.0,14.0
Leicester,Huddersfield,9,1.61,3.82,6.35,H,16.0,14.0
Liverpool,Southampton,9,1.2,7.5,17.0,H,17.0,26.0
Liverpool,Southampton,9,1.2,6.75,14.0,H,17.0,26.0
Liverpool,Southampton,9,1.2,6.5,15.0,H,17.0,26.0
Liverpool,Southampton,9,1.18,7.0,15.0,H,17.0,26.0
Liverpool,Southampton,9,1.2,7.5,17.0,H,17.0,26.0
Liverpool,Southampton,9,1.22,7.75,19.0,H,17.0,26.0
Liverpool,Southampton,9,1.2,7.06,15.75,H,17.0,26.0
