,Unnamed: 0,FUND,CNT,SRC_UID,EOM
3391,3391,Dendrocitta vagabunda,415,206670760,2012-09-30
3393,3393,Papio cynocephalus,6,206670762,2012-09-30
3394,3394,Anitibyx armatus,13,171293175119,2012-09-30
3395,3395,Felis serval,2,171270176992,2012-09-30
3396,3396,Lamprotornis nitens,6,656760542396,2012-09-30
3400,3400,Canis mesomelas,4489,105401395916,2012-09-30
3401,3401,Dicrostonyx groenlandicus,18,197463014939188,2012-09-30
3402,3402,Spermophilus lateralis,1028,188703129863464,2012-09-30
3403,3403,Tyto novaehollandiae,2570,638750702637,2012-09-30
3404,3404,Geococcyx californianus,3170,207934051132,2012-09-30
3405,3405,Macaca fuscata,1781,188803777670426,2012-09-30
3406,3406,Bugeranus caruncalatus,1698,206670690,2012-09-30
3407,3407,Phaethon aethereus,116,455157311,2012-09-30
3408,3408,Papio ursinus,1106,409790534092,2012-09-30
3409,3409,Halcyon smyrnesis,1629,200109499869465,2012-09-30
3410,3410,Pycnonotus barbatus,1470,52096762037,2012-09-30
3411,3411,Bucephala clangula,192,737766433094,2012-09-30
3412,3412,Anthropoides paradisea,1699,880923451687,2012-09-30
3413,3413,Varanus komodensis,1518,880930580959,2012-09-30
3415,3415,Panthera pardus,119,656756747842,2012-09-30
3416,3416,Cordylus giganteus,78,108203096943,2012-09-30
3417,3417,Axis axis,177,206670739,2012-09-30
3418,3418,Physignathus cocincinus,229,206670711,2012-09-30
3421,3421,Lamprotornis nitens,4394,656760542396,2012-09-30
3422,3422,Podargus strigoides,268,206670764,2012-09-30
3423,3423,Oncorhynchus nerka,18,206670691,2012-09-30
3425,3425,Cordylus giganteus,1835,108203096943,2012-09-30
3426,3426,Echimys chrysurus,2908,537115818972,2012-09-30
3427,3427,Cereopsis novaehollandiae,1973,206670721,2012-09-30
3428,3428,Pelecanus occidentalis,1282,206670734,2012-09-30
3429,3429,Mustela nigripes,1285,1451747082532,2012-09-30
3430,3430,Ovis canadensis,5055,206670723,2012-09-30
3431,3431,Cercatetus concinnus,32,263029574593,2012-09-30
3432,3432,Manouria emys,42,206670746,2012-09-30
3433,3433,Charadrius tricollaris,693,189669305873243,2012-09-30
3434,3434,Hippotragus niger,2363,460145818838,2012-09-30
3435,3435,Eumetopias jubatus,22,1540205459539,2012-09-30
3437,3437,Balearica pavonina,13,272729054236,2012-10-31
3438,3438,Echimys chrysurus,2374,537115818972,2012-10-31
3439,3439,Melophus lathami,5174,537945078883,2012-10-31
3440,3440,Laniaurius atrococcineus,94,40234253942,2012-10-31
3442,3442,Psophia viridis,4685,206670770,2012-10-31
3443,3443,Alcelaphus buselaphus cokii,5847,181701414249,2012-10-31
3444,3444,Hystrix indica,484,189395860675734,2012-10-31
3445,3445,Megaderma spasma,14295,206670742,2012-10-31
3446,3446,Marmota flaviventris,1637,188703102004066,2012-10-31
3447,3447,Dicrurus adsimilis,35,188703124648158,2012-10-31
3448,3448,Crotaphytus collaris,1722,323418458,2012-10-31
3449,3449,Nucifraga columbiana,461,40232932742,2012-10-31
3450,3450,Rangifer tarandus,297,36740368922,2012-10-31
3452,3452,Lepus townsendii,1778,188703120510450,2012-10-31
3453,3453,Actophilornis africanus,5169,272675524722,2012-10-31
3455,3455,unavailable,31,206670773,2012-10-31
3456,3456,Litrocranius walleri,4571,880888590812,2012-10-31
3457,3457,Petaurus breviceps,1739,186494805556422,2012-10-31
3461,3461,Panthera pardus,31,656756747842,2012-10-31
3462,3462,Crotalus cerastes,31,181701369631,2012-10-31
3463,3463,Choloepus hoffmani,2550,186267307833917,2012-10-31
3464,3464,Sarkidornis melanotos,4364,108219608754,2012-10-31
3465,3465,unavailable,2564,206670773,2012-10-31
3466,3466,Eumetopias jubatus,87,1540205459539,2012-10-31
3467,3467,Lutra canadensis,2452,168720101925,2012-10-31
3468,3468,Centrocercus urophasianus,3398,324918516,2012-10-31
3469,3469,Falco peregrinus,1760,181989439245,2012-10-31
3470,3470,Choriotis kori,2662,27160283895,2012-10-31
3471,3471,Rhea americana,2577,189669225079108,2012-10-31
3472,3472,Haematopus ater,18,38679964783,2012-10-31
3473,3473,Castor fiber,2620,206670747,2012-10-31
3474,3474,Plegadis falcinellus,10398,181703187068,2012-10-31
3476,3476,Ardea cinerea,4501,206670715,2012-10-31
3477,3477,Isoodon obesulus,3247,189669356346606,2012-10-31
3478,3478,Eolophus roseicapillus,3102,55902523917,2012-10-31
3479,3479,Cyrtodactylus louisiadensis,31,95461418687,2012-10-31
3483,3483,Actophilornis africanus,150,272675524722,2012-10-31
3484,3484,Orcinus orca,184,108202450315,2012-10-31
3485,3485,Cordylus giganteus,119,108203096943,2012-10-31
3486,3486,Macaca mulatta,122,108207596093,2012-10-31
3487,3487,Macropus giganteus,3974,206670810,2012-10-31
3488,3488,Paradoxurus hermaphroditus,31,401722140628,2012-10-31
3489,3489,Isoodon obesulus,1871,189669356346606,2012-10-31
3490,3490,Canis aureus,2306,206670716,2012-10-31
3491,3491,Gekko gecko,1,263027932466,2012-10-31
3492,3492,Milvus migrans,2339,275505523,2012-10-31
3498,3498,Chelodina longicollis,44,206670761,2012-10-31
3499,3499,unavailable,6076,206670773,2012-10-31
3500,3500,Falco peregrinus,359,181989439245,2012-10-31
3501,3501,Charadrius tricollaris,1745,189669305873243,2012-10-31
3504,3504,Trachyphonus vaillantii,4354,898428021820,2012-10-31
3505,3505,Ourebia ourebi,7580,206670693,2012-10-31
3506,3506,Ephippiorhynchus mycteria,228,52079200642,2012-10-31
3507,3507,Hymenolaimus malacorhynchus,31,206670807,2012-10-31
3508,3508,Merops nubicus,1706,189669487573238,2012-10-31
3509,3509,unavailable,1,206670773,2012-10-31
3512,3512,Bassariscus astutus,6653,1134069654772,2012-10-31
3513,3513,Butorides striatus,3868,28283084613,2012-10-31
3515,3515,Oreamnos americanus,1763,188703116701652,2012-10-31
3516,3516,Lorythaixoides concolor,3880,206670771,2012-10-31
3518,3518,Amphibolurus barbatus,3086,1489764652,2012-10-31
3520,3520,Himantopus himantopus,4125,206670686,2012-10-31
3521,3521,Cabassous sp.,4660,206670692,2012-10-31
3522,3522,Francolinus leucoscepus,34,78217981906,2012-10-31
3523,3523,Macaca fuscata,2006,188803777670426,2012-10-31
3525,3525,Laniaurius atrococcineus,697,40234253942,2012-10-31
3526,3526,Felis concolor,1,855792245768,2012-10-31
3527,3527,Alouatta seniculus,768,40234001221,2012-10-31
3528,3528,Tauraco porphyrelophus,162,69174547266,2012-10-31
3532,3532,Himantopus himantopus,608,206670686,2012-10-31
3533,3533,Myiarchus tuberculifer,1862,188703112484212,2012-10-31
3534,3534,Chloephaga melanoptera,4882,573917296406,2012-10-31
3536,3536,Trachyphonus vaillantii,607,898428021820,2012-10-31
3538,3538,Eubalaena australis,245,643851054259,2012-10-31
3541,3541,Laniaurius atrococcineus,490,40234253942,2012-10-31
3542,3542,Hystrix indica,408,189395860675734,2012-10-31
3547,3547,Columba palumbus,2945,1489765858,2012-10-31
3548,3548,Deroptyus accipitrinus,1224,1676124906944,2012-10-31
3549,3549,Dendrocitta vagabunda,606,206670760,2012-10-31
3551,3551,Anitibyx armatus,15,171293175119,2012-10-31
3552,3552,Felis serval,3,171270176992,2012-10-31
3556,3556,Canis mesomelas,5996,105401395916,2012-10-31
3557,3557,Dicrostonyx groenlandicus,31,197463014939188,2012-10-31
3558,3558,Spermophilus lateralis,1715,188703129863464,2012-10-31
3559,3559,Tyto novaehollandiae,3728,638750702637,2012-10-31
3560,3560,Geococcyx californianus,4340,207934051132,2012-10-31
3561,3561,Macaca fuscata,2282,188803777670426,2012-10-31
3562,3562,Bugeranus caruncalatus,2345,206670690,2012-10-31
3563,3563,Phaethon aethereus,142,455157311,2012-10-31
3564,3564,Papio ursinus,1642,409790534092,2012-10-31
3565,3565,Halcyon smyrnesis,2265,200109499869465,2012-10-31
3566,3566,Pycnonotus barbatus,2016,52096762037,2012-10-31
3567,3567,Bucephala clangula,251,737766433094,2012-10-31
3568,3568,Anthropoides paradisea,2254,880923451687,2012-10-31
3569,3569,Varanus komodensis,2017,880930580959,2012-10-31
3571,3571,Panthera pardus,153,656756747842,2012-10-31
3572,3572,Cordylus giganteus,67,108203096943,2012-10-31
3573,3573,Axis axis,248,206670739,2012-10-31
3574,3574,Physignathus cocincinus,345,206670711,2012-10-31
3577,3577,Lamprotornis nitens,6233,656760542396,2012-10-31
3578,3578,Podargus strigoides,351,206670764,2012-10-31
3579,3579,Oncorhynchus nerka,31,206670691,2012-10-31
3581,3581,Cordylus giganteus,2860,108203096943,2012-10-31
3582,3582,Echimys chrysurus,4859,537115818972,2012-10-31
3583,3583,Cereopsis novaehollandiae,3071,206670721,2012-10-31
3584,3584,Pelecanus occidentalis,1855,206670734,2012-10-31
3585,3585,Mustela nigripes,1835,1451747082532,2012-10-31
3586,3586,Ovis canadensis,6745,206670723,2012-10-31
3587,3587,Cercatetus concinnus,44,263029574593,2012-10-31
3588,3588,Manouria emys,34,206670746,2012-10-31
3589,3589,Charadrius tricollaris,365,189669305873243,2012-10-31
3590,3590,Hippotragus niger,3408,460145818838,2012-10-31
3591,3591,Eumetopias jubatus,22,1540205459539,2012-10-31
3593,3593,Balearica pavonina,6,272729054236,2012-11-30
3594,3594,Echimys chrysurus,2425,537115818972,2012-11-30
3595,3595,Melophus lathami,5703,537945078883,2012-11-30
3596,3596,Laniaurius atrococcineus,56,40234253942,2012-11-30
3598,3598,Psophia viridis,6031,206670770,2012-11-30
3599,3599,Alcelaphus buselaphus cokii,6695,181701414249,2012-11-30
3600,3600,Hystrix indica,665,189395860675734,2012-11-30
3601,3601,Megaderma spasma,15323,206670742,2012-11-30
3602,3602,Marmota flaviventris,1892,188703102004066,2012-11-30
3603,3603,Crotaphytus collaris,2098,323418458,2012-11-30
3604,3604,Nucifraga columbiana,482,40232932742,2012-11-30
3605,3605,Rangifer tarandus,386,36740368922,2012-11-30
3607,3607,Lepus townsendii,2457,188703120510450,2012-11-30
3608,3608,Actophilornis africanus,6474,272675524722,2012-11-30
3610,3610,unavailable,14,206670773,2012-11-30
3611,3611,Litrocranius walleri,5147,880888590812,2012-11-30
3612,3612,Petaurus breviceps,2268,186494805556422,2012-11-30
3616,3616,Centrocercus urophasianus,1,324918516,2012-11-30
3617,3617,Panthera pardus,14,656756747842,2012-11-30
3618,3618,Crotalus cerastes,14,181701369631,2012-11-30
3619,3619,Choloepus hoffmani,3330,186267307833917,2012-11-30
3620,3620,Sarkidornis melanotos,5212,108219608754,2012-11-30
3621,3621,unavailable,2887,206670773,2012-11-30
3622,3622,Eumetopias jubatus,74,1540205459539,2012-11-30
3623,3623,Lutra canadensis,2870,168720101925,2012-11-30
3624,3624,Centrocercus urophasianus,4106,324918516,2012-11-30
3625,3625,Falco peregrinus,2130,181989439245,2012-11-30
3626,3626,Choriotis kori,3527,27160283895,2012-11-30
3627,3627,Rhea americana,2830,189669225079108,2012-11-30
3628,3628,Haematopus ater,5,38679964783,2012-11-30
3629,3629,Castor fiber,3357,206670747,2012-11-30
3630,3630,Hystrix cristata,7,192291882972375,2012-11-30
3631,3631,Plegadis falcinellus,12633,181703187068,2012-11-30
3633,3633,Ardea cinerea,5570,206670715,2012-11-30
3634,3634,Isoodon obesulus,3492,189669356346606,2012-11-30
3635,3635,Eolophus roseicapillus,3675,55902523917,2012-11-30
3636,3636,Cyrtodactylus louisiadensis,14,95461418687,2012-11-30
3640,3640,Actophilornis africanus,252,272675524722,2012-11-30
3641,3641,Orcinus orca,281,108202450315,2012-11-30
3642,3642,Cordylus giganteus,218,108203096943,2012-11-30
3643,3643,Macaca mulatta,253,108207596093,2012-11-30
3644,3644,Macropus giganteus,4964,206670810,2012-11-30
3645,3645,Paradoxurus hermaphroditus,14,401722140628,2012-11-30
3646,3646,Isoodon obesulus,2471,189669356346606,2012-11-30
3647,3647,Canis aureus,2973,206670716,2012-11-30
3648,3648,Gekko gecko,6,263027932466,2012-11-30
3649,3649,Milvus migrans,2692,275505523,2012-11-30
3655,3655,Chelodina longicollis,20,206670761,2012-11-30
3656,3656,unavailable,7328,206670773,2012-11-30
3657,3657,Falco peregrinus,374,181989439245,2012-11-30
3658,3658,Charadrius tricollaris,1826,189669305873243,2012-11-30
3661,3661,Trachyphonus vaillantii,5296,898428021820,2012-11-30
3662,3662,Ourebia ourebi,9344,206670693,2012-11-30
3663,3663,Ephippiorhynchus mycteria,356,52079200642,2012-11-30
3664,3664,Hymenolaimus malacorhynchus,14,206670807,2012-11-30
3665,3665,Merops nubicus,1947,189669487573238,2012-11-30
3666,3666,unavailable,5,206670773,2012-11-30
3669,3669,Bassariscus astutus,8018,1134069654772,2012-11-30
3670,3670,Butorides striatus,4694,28283084613,2012-11-30
3672,3672,Oreamnos americanus,2009,188703116701652,2012-11-30
3673,3673,Lorythaixoides concolor,4849,206670771,2012-11-30
3674,3674,Amphibolurus barbatus,4125,1489764652,2012-11-30
3676,3676,Himantopus himantopus,5170,206670686,2012-11-30
3677,3677,Cabassous sp.,5816,206670692,2012-11-30
3678,3678,Francolinus leucoscepus,21,78217981906,2012-11-30
3679,3679,Macaca fuscata,2249,188803777670426,2012-11-30
3681,3681,Laniaurius atrococcineus,803,40234253942,2012-11-30
3682,3682,Felis concolor,7,855792245768,2012-11-30
3683,3683,Alouatta seniculus,926,40234001221,2012-11-30
3684,3684,Tauraco porphyrelophus,271,69174547266,2012-11-30
3688,3688,Himantopus himantopus,249,206670686,2012-11-30
3689,3689,Myiarchus tuberculifer,2149,188703112484212,2012-11-30
3690,3690,Chloephaga melanoptera,6660,573917296406,2012-11-30
3692,3692,Trachyphonus vaillantii,901,898428021820,2012-11-30
3694,3694,Eubalaena australis,54,643851054259,2012-11-30
3695,3695,Laniaurius atrococcineus,914,40234253942,2012-11-30
3696,3696,Hystrix indica,663,189395860675734,2012-11-30
3701,3701,Columba palumbus,3696,1489765858,2012-11-30
3702,3702,Deroptyus accipitrinus,1362,1676124906944,2012-11-30
3703,3703,Dendrocitta vagabunda,797,206670760,2012-11-30
3705,3705,Papio cynocephalus,5,206670762,2012-11-30
3706,3706,Anitibyx armatus,6,171293175119,2012-11-30
3707,3707,Lamprotornis nitens,5,656760542396,2012-11-30
3708,3708,Anthropoides paradisea,6,880923451687,2012-11-30
3712,3712,Canis mesomelas,7276,105401395916,2012-11-30
3713,3713,Dicrostonyx groenlandicus,14,197463014939188,2012-11-30
3714,3714,Spermophilus lateralis,1948,188703129863464,2012-11-30
3715,3715,Tyto novaehollandiae,4399,638750702637,2012-11-30
3716,3716,Geococcyx californianus,5500,207934051132,2012-11-30
3717,3717,Macaca fuscata,4013,188803777670426,2012-11-30
3718,3718,Bugeranus caruncalatus,4576,206670690,2012-11-30
3719,3719,Phaethon aethereus,252,455157311,2012-11-30
3720,3720,Papio ursinus,3295,409790534092,2012-11-30
3721,3721,Halcyon smyrnesis,3689,200109499869465,2012-11-30
3722,3722,Pycnonotus barbatus,2597,52096762037,2012-11-30
3723,3723,Bucephala clangula,401,737766433094,2012-11-30
3724,3724,Anthropoides paradisea,3581,880923451687,2012-11-30
3725,3725,Varanus komodensis,2743,880930580959,2012-11-30
3727,3727,Panthera pardus,265,656756747842,2012-11-30
3728,3728,Cordylus giganteus,58,108203096943,2012-11-30
3729,3729,Axis axis,355,206670739,2012-11-30
3730,3730,Physignathus cocincinus,427,206670711,2012-11-30
3733,3733,Lamprotornis nitens,7304,656760542396,2012-11-30
3734,3734,Podargus strigoides,353,206670764,2012-11-30
3735,3735,Oncorhynchus nerka,22,206670691,2012-11-30
3737,3737,Cordylus giganteus,3295,108203096943,2012-11-30
3738,3738,Echimys chrysurus,5516,537115818972,2012-11-30
3739,3739,Cereopsis novaehollandiae,3757,206670721,2012-11-30
3740,3740,Pelecanus occidentalis,2382,206670734,2012-11-30
3741,3741,Mustela nigripes,2172,1451747082532,2012-11-30
3742,3742,Ovis canadensis,8146,206670723,2012-11-30
3743,3743,Cercatetus concinnus,20,263029574593,2012-11-30
3744,3744,Manouria emys,33,206670746,2012-11-30
3745,3745,Charadrius tricollaris,580,189669305873243,2012-11-30
3746,3746,Hippotragus niger,4366,460145818838,2012-11-30
3747,3747,Eumetopias jubatus,38,1540205459539,2012-11-30
3749,3749,Balearica pavonina,3,272729054236,2012-12-31
3750,3750,Echimys chrysurus,1610,537115818972,2012-12-31
3751,3751,Melophus lathami,4234,537945078883,2012-12-31
3752,3752,Laniaurius atrococcineus,38,40234253942,2012-12-31
3754,3754,Psophia viridis,4155,206670770,2012-12-31
3755,3755,Alcelaphus buselaphus cokii,4778,181701414249,2012-12-31
3756,3756,Hystrix indica,359,189395860675734,2012-12-31
3757,3757,Megaderma spasma,12229,206670742,2012-12-31
3758,3758,Marmota flaviventris,1009,188703102004066,2012-12-31
3759,3759,Dicrurus adsimilis,5,188703124648158,2012-12-31
3760,3760,Crotaphytus collaris,1315,323418458,2012-12-31
3761,3761,Nucifraga columbiana,347,40232932742,2012-12-31
3762,3762,Rangifer tarandus,241,36740368922,2012-12-31
3764,3764,Lepus townsendii,1100,188703120510450,2012-12-31
3765,3765,Actophilornis africanus,4694,272675524722,2012-12-31
3767,3767,unavailable,17,206670773,2012-12-31
3768,3768,Litrocranius walleri,3189,880888590812,2012-12-31
3769,3769,Petaurus breviceps,1426,186494805556422,2012-12-31
3773,3773,Panthera pardus,17,656756747842,2012-12-31
3774,3774,Crotalus cerastes,17,181701369631,2012-12-31
3775,3775,Choloepus hoffmani,2120,186267307833917,2012-12-31
3776,3776,Sarkidornis melanotos,3353,108219608754,2012-12-31
3777,3777,unavailable,1835,206670773,2012-12-31
3778,3778,Eumetopias jubatus,86,1540205459539,2012-12-31
3779,3779,Lutra canadensis,1974,168720101925,2012-12-31
3780,3780,Centrocercus urophasianus,2675,324918516,2012-12-31
3781,3781,Falco peregrinus,1358,181989439245,2012-12-31
3782,3782,Choriotis kori,2096,27160283895,2012-12-31
3783,3783,Rhea americana,1596,189669225079108,2012-12-31
3784,3784,Haematopus ater,6,38679964783,2012-12-31
3785,3785,Castor fiber,2341,206670747,2012-12-31
3786,3786,Hystrix cristata,1201,192291882972375,2012-12-31
3787,3787,Plegadis falcinellus,8644,181703187068,2012-12-31
3789,3789,Ardea cinerea,3665,206670715,2012-12-31
3790,3790,Isoodon obesulus,1671,189669356346606,2012-12-31
3791,3791,Eolophus roseicapillus,2317,55902523917,2012-12-31
3792,3792,Cyrtodactylus louisiadensis,17,95461418687,2012-12-31
3796,3796,Actophilornis africanus,165,272675524722,2012-12-31
3797,3797,Orcinus orca,194,108202450315,2012-12-31
3798,3798,Cordylus giganteus,147,108203096943,2012-12-31
3799,3799,Macaca mulatta,161,108207596093,2012-12-31
3800,3800,Macropus giganteus,3093,206670810,2012-12-31
3801,3801,Paradoxurus hermaphroditus,17,401722140628,2012-12-31
3802,3802,Isoodon obesulus,1656,189669356346606,2012-12-31
3803,3803,Canis aureus,1961,206670716,2012-12-31
3804,3804,Gekko gecko,6,263027932466,2012-12-31
3805,3805,Milvus migrans,2076,275505523,2012-12-31
3811,3811,Chelodina longicollis,20,206670761,2012-12-31
3812,3812,unavailable,5182,206670773,2012-12-31
3813,3813,Falco peregrinus,512,181989439245,2012-12-31
3814,3814,Charadrius tricollaris,857,189669305873243,2012-12-31
3817,3817,Trachyphonus vaillantii,3305,898428021820,2012-12-31
3818,3818,Ourebia ourebi,6171,206670693,2012-12-31
3819,3819,Ephippiorhynchus mycteria,192,52079200642,2012-12-31
3820,3820,Hymenolaimus malacorhynchus,17,206670807,2012-12-31
3821,3821,Merops nubicus,812,189669487573238,2012-12-31
3822,3822,unavailable,6,206670773,2012-12-31
3824,3824,Bassariscus astutus,5656,1134069654772,2012-12-31
3826,3826,Butorides striatus,3040,28283084613,2012-12-31
3828,3828,Oreamnos americanus,1060,188703116701652,2012-12-31
3829,3829,Lorythaixoides concolor,3318,206670771,2012-12-31
3830,3830,Amphibolurus barbatus,2461,1489764652,2012-12-31
3832,3832,Himantopus himantopus,3494,206670686,2012-12-31
3833,3833,Cabassous sp.,3845,206670692,2012-12-31
3834,3834,Francolinus leucoscepus,17,78217981906,2012-12-31
3835,3835,Macaca fuscata,1280,188803777670426,2012-12-31
3837,3837,Laniaurius atrococcineus,641,40234253942,2012-12-31
3838,3838,Felis concolor,6,855792245768,2012-12-31
3839,3839,Alouatta seniculus,1062,40234001221,2012-12-31
3840,3840,Tauraco porphyrelophus,146,69174547266,2012-12-31
3844,3844,Himantopus himantopus,246,206670686,2012-12-31
3845,3845,Myiarchus tuberculifer,1098,188703112484212,2012-12-31
3846,3846,Chloephaga melanoptera,4300,573917296406,2012-12-31
3847,3847,Trachyphonus vaillantii,594,898428021820,2012-12-31
3849,3849,Eubalaena australis,52,643851054259,2012-12-31
3850,3850,Laniaurius atrococcineus,786,40234253942,2012-12-31
3851,3851,Hystrix indica,686,189395860675734,2012-12-31
3856,3856,Columba palumbus,2318,1489765858,2012-12-31
3857,3857,Deroptyus accipitrinus,869,1676124906944,2012-12-31
3858,3858,Dendrocitta vagabunda,555,206670760,2012-12-31
3859,3859,Anthropoides paradisea,278,880923451687,2012-12-31
3863,3863,Canis mesomelas,5434,105401395916,2012-12-31
3865,3865,Dicrostonyx groenlandicus,17,197463014939188,2012-12-31
3866,3866,Spermophilus lateralis,994,188703129863464,2012-12-31
3867,3867,Tyto novaehollandiae,3068,638750702637,2012-12-31
3869,3869,Geococcyx californianus,4020,207934051132,2012-12-31
3870,3870,Macaca fuscata,2373,188803777670426,2012-12-31
3871,3871,Bugeranus caruncalatus,2456,206670690,2012-12-31
3872,3872,Phaethon aethereus,131,455157311,2012-12-31
3873,3873,Papio ursinus,1608,409790534092,2012-12-31
3874,3874,Halcyon smyrnesis,1996,200109499869465,2012-12-31
3875,3875,Pycnonotus barbatus,1714,52096762037,2012-12-31
3876,3876,Bucephala clangula,190,737766433094,2012-12-31
3877,3877,Anthropoides paradisea,2127,880923451687,2012-12-31
3878,3878,Varanus komodensis,1874,880930580959,2012-12-31
3880,3880,Panthera pardus,157,656756747842,2012-12-31
3881,3881,Cordylus giganteus,48,108203096943,2012-12-31
3882,3882,Axis axis,210,206670739,2012-12-31
3883,3883,Physignathus cocincinus,284,206670711,2012-12-31
3886,3886,Lamprotornis nitens,5261,656760542396,2012-12-31
3887,3887,Podargus strigoides,410,206670764,2012-12-31
3888,3888,Oncorhynchus nerka,23,206670691,2012-12-31
3890,3890,Cordylus giganteus,2113,108203096943,2012-12-31
3891,3891,Echimys chrysurus,3525,537115818972,2012-12-31
3892,3892,Cereopsis novaehollandiae,2402,206670721,2012-12-31
3893,3893,Pelecanus occidentalis,1457,206670734,2012-12-31
3894,3894,Mustela nigripes,1454,1451747082532,2012-12-31
3895,3895,Ovis canadensis,6110,206670723,2012-12-31
3896,3896,Cercatetus concinnus,20,263029574593,2012-12-31
3897,3897,Manouria emys,28,206670746,2012-12-31
3898,3898,Charadrius tricollaris,635,189669305873243,2012-12-31
3899,3899,Hippotragus niger,2645,460145818838,2012-12-31
3900,3900,Eumetopias jubatus,23,1540205459539,2012-12-31
3902,3902,Balearica pavonina,5,272729054236,2013-01-31
3903,3903,Echimys chrysurus,1889,537115818972,2013-01-31
3904,3904,Melophus lathami,4993,537945078883,2013-01-31
3905,3905,Laniaurius atrococcineus,62,40234253942,2013-01-31
3907,3907,Psophia viridis,4970,206670770,2013-01-31
3908,3908,Alcelaphus buselaphus cokii,5881,181701414249,2013-01-31
3909,3909,Hystrix indica,439,189395860675734,2013-01-31
3910,3910,Megaderma spasma,12709,206670742,2013-01-31
3911,3911,Marmota flaviventris,1422,188703102004066,2013-01-31
3912,3912,Dicrurus adsimilis,1,188703124648158,2013-01-31
3913,3913,Crotaphytus collaris,1385,323418458,2013-01-31
3914,3914,Nucifraga columbiana,412,40232932742,2013-01-31
3915,3915,Rangifer tarandus,293,36740368922,2013-01-31
3917,3917,Lepus townsendii,1488,188703120510450,2013-01-31
3918,3918,Actophilornis africanus,5630,272675524722,2013-01-31
3920,3920,unavailable,18,206670773,2013-01-31
3921,3921,Litrocranius walleri,3842,880888590812,2013-01-31
3922,3922,Petaurus breviceps,1559,186494805556422,2013-01-31
3926,3926,Panthera pardus,18,656756747842,2013-01-31
3927,3927,Crotalus cerastes,18,181701369631,2013-01-31
3928,3928,Choloepus hoffmani,2385,186267307833917,2013-01-31
3929,3929,Sarkidornis melanotos,4110,108219608754,2013-01-31
3930,3930,unavailable,2217,206670773,2013-01-31
3931,3931,Eumetopias jubatus,47,1540205459539,2013-01-31
3932,3932,Lutra canadensis,2276,168720101925,2013-01-31
3933,3933,Centrocercus urophasianus,3254,324918516,2013-01-31
3934,3934,Falco peregrinus,1580,181989439245,2013-01-31
3935,3935,Choriotis kori,2505,27160283895,2013-01-31
3936,3936,Rhea americana,2655,189669225079108,2013-01-31
3937,3937,Haematopus ater,3,38679964783,2013-01-31
3938,3938,Castor fiber,2823,206670747,2013-01-31
3939,3939,Hystrix cristata,2191,192291882972375,2013-01-31
3940,3940,Plegadis falcinellus,11883,181703187068,2013-01-31
3942,3942,Ardea cinerea,4363,206670715,2013-01-31
3943,3943,Isoodon obesulus,2877,189669356346606,2013-01-31
3944,3944,Eolophus roseicapillus,2939,55902523917,2013-01-31
3945,3945,Cyrtodactylus louisiadensis,18,95461418687,2013-01-31
3949,3949,Actophilornis africanus,178,272675524722,2013-01-31
3950,3950,Orcinus orca,203,108202450315,2013-01-31
3951,3951,Cordylus giganteus,147,108203096943,2013-01-31
3952,3952,Macaca mulatta,173,108207596093,2013-01-31
3953,3953,Macropus giganteus,3811,206670810,2013-01-31
3954,3954,Paradoxurus hermaphroditus,18,401722140628,2013-01-31
3955,3955,Isoodon obesulus,1948,189669356346606,2013-01-31
3956,3956,Canis aureus,2205,206670716,2013-01-31
3957,3957,Milvus migrans,2239,275505523,2013-01-31
3963,3963,Chelodina longicollis,23,206670761,2013-01-31
3964,3964,unavailable,5878,206670773,2013-01-31
3965,3965,Falco peregrinus,414,181989439245,2013-01-31
3966,3966,Charadrius tricollaris,1231,189669305873243,2013-01-31
3969,3969,Trachyphonus vaillantii,3803,898428021820,2013-01-31
3970,3970,Ourebia ourebi,7795,206670693,2013-01-31
3971,3971,Ephippiorhynchus mycteria,203,52079200642,2013-01-31
3972,3972,Hymenolaimus malacorhynchus,18,206670807,2013-01-31
3973,3973,Merops nubicus,1209,189669487573238,2013-01-31
3974,3974,Bassariscus astutus,6518,1134069654772,2013-01-31
3975,3975,Butorides striatus,3650,28283084613,2013-01-31
3977,3977,Oreamnos americanus,1410,188703116701652,2013-01-31
3978,3978,Lorythaixoides concolor,3869,206670771,2013-01-31
3979,3979,Amphibolurus barbatus,2934,1489764652,2013-01-31
3981,3981,Himantopus himantopus,4022,206670686,2013-01-31
3982,3982,Cabassous sp.,4346,206670692,2013-01-31
3983,3983,Francolinus leucoscepus,27,78217981906,2013-01-31
3984,3984,Macaca fuscata,1455,188803777670426,2013-01-31
3986,3986,Laniaurius atrococcineus,582,40234253942,2013-01-31
3987,3987,Felis concolor,3,855792245768,2013-01-31
3988,3988,Alouatta seniculus,771,40234001221,2013-01-31
3989,3989,Tauraco porphyrelophus,170,69174547266,2013-01-31
3993,3993,Himantopus himantopus,321,206670686,2013-01-31
3994,3994,Myiarchus tuberculifer,1525,188703112484212,2013-01-31
3995,3995,Chloephaga melanoptera,5097,573917296406,2013-01-31
3996,3996,Trachyphonus vaillantii,681,898428021820,2013-01-31
3998,3998,Eubalaena australis,49,643851054259,2013-01-31
3999,3999,Laniaurius atrococcineus,523,40234253942,2013-01-31
4000,4000,Hystrix indica,431,189395860675734,2013-01-31
4005,4005,Columba palumbus,2679,1489765858,2013-01-31
